MATERIAL,DESCRIPTION,PRICE,CURRENCY,VALID ON
2801200001,COPPER PURE,9875,USD,01-11-2021
2801200001,COPPER PURE,9817,USD,02-11-2021
2801200001,COPPER PURE,9825,USD,03-11-2021
2801200001,COPPER PURE,9785,USD,04-11-2021
2801200001,COPPER PURE,9740,USD,05-11-2021
2801200001,COPPER PURE,9885,USD,08-11-2021
2801200001,COPPER PURE,10002,USD,09-11-2021
2801200001,COPPER PURE,9791,USD,10-11-2021
2801200001,COPPER PURE,9850,USD,11-11-2021
2801200001,COPPER PURE,9854.5,USD,12-11-2021
2801200001,COPPER PURE,9845,USD,15-11-2021
2801200001,COPPER PURE,9680,USD,16-11-2021
2801200001,COPPER PURE,9495,USD,17-11-2021
2801200001,COPPER PURE,9450,USD,18-11-2021
2801200001,COPPER PURE,9730,USD,22-11-2021
2801200001,COPPER PURE,9825.5,USD,23-11-2021
2801200001,COPPER PURE,9852,USD,24-11-2021
2801200001,COPPER PURE,9932,USD,25-11-2021
2801200001,COPPER PURE,9630,USD,26-11-2021
2801200001,COPPER PURE,9751,USD,29-11-2021
2801200001,COPPER PURE,9605,USD,30-11-2021
2801200001,COPPER PURE,9571,USD,01-12-2021
2801200001,COPPER PURE,9520,USD,02-12-2021
2801200001,COPPER PURE,9513,USD,03-12-2021
2801200001,COPPER PURE,9526,USD,06-12-2021
2801200001,COPPER PURE,9647,USD,07-12-2021
2801200001,COPPER PURE,9555.5,USD,08-12-2021
2801200001,COPPER PURE,9578,USD,09-12-2021
2801200001,COPPER PURE,9543,USD,10-12-2021
2801200001,COPPER PURE,9500,USD,13-12-2021
2801200001,COPPER PURE,9485,USD,14-12-2021
2801200001,COPPER PURE,9290,USD,15-12-2021
2801200001,COPPER PURE,9506,USD,16-12-2021
2801200001,COPPER PURE,9520,USD,17-12-2021
2801200001,COPPER PURE,9406,USD,20-12-2021
2801200001,COPPER PURE,9521,USD,21-12-2021
2801200001,COPPER PURE,9625,USD,22-12-2021
2801200001,COPPER PURE,9606,USD,23-12-2021
